,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
0,Afghanistan,AFG,1750,0.0,,,,,,,
1,Afghanistan,AFG,1751,0.0,,,,,,,
2,Afghanistan,AFG,1752,0.0,,,,,,,
3,Afghanistan,AFG,1753,0.0,,,,,,,
4,Afghanistan,AFG,1754,0.0,,,,,,,
5,Afghanistan,AFG,1755,0.0,,,,,,,
6,Afghanistan,AFG,1756,0.0,,,,,,,
7,Afghanistan,AFG,1757,0.0,,,,,,,
8,Afghanistan,AFG,1758,0.0,,,,,,,
9,Afghanistan,AFG,1759,0.0,,,,,,,
10,Afghanistan,AFG,1760,0.0,,,,,,,
11,Afghanistan,AFG,1761,0.0,,,,,,,
12,Afghanistan,AFG,1762,0.0,,,,,,,
13,Afghanistan,AFG,1763,0.0,,,,,,,
14,Afghanistan,AFG,1764,0.0,,,,,,,
15,Afghanistan,AFG,1765,0.0,,,,,,,
16,Afghanistan,AFG,1766,0.0,,,,,,,
17,Afghanistan,AFG,1767,0.0,,,,,,,
18,Afghanistan,AFG,1768,0.0,,,,,,,
19,Afghanistan,AFG,1769,0.0,,,,,,,
20,Afghanistan,AFG,1770,0.0,,,,,,,
21,Afghanistan,AFG,1771,0.0,,,,,,,
22,Afghanistan,AFG,1772,0.0,,,,,,,
23,Afghanistan,AFG,1773,0.0,,,,,,,
24,Afghanistan,AFG,1774,0.0,,,,,,,
25,Afghanistan,AFG,1775,0.0,,,,,,,
26,Afghanistan,AFG,1776,0.0,,,,,,,
27,Afghanistan,AFG,1777,0.0,,,,,,,
28,Afghanistan,AFG,1778,0.0,,,,,,,
29,Afghanistan,AFG,1779,0.0,,,,,,,
30,Afghanistan,AFG,1780,0.0,,,,,,,
31,Afghanistan,AFG,1781,0.0,,,,,,,
32,Afghanistan,AFG,1782,0.0,,,,,,,
33,Afghanistan,AFG,1783,0.0,,,,,,,
34,Afghanistan,AFG,1784,0.0,,,,,,,
35,Afghanistan,AFG,1785,0.0,,,,,,,
36,Afghanistan,AFG,1786,0.0,,,,,,,
37,Afghanistan,AFG,1787,0.0,,,,,,,
38,Afghanistan,AFG,1788,0.0,,,,,,,
39,Afghanistan,AFG,1789,0.0,,,,,,,
40,Afghanistan,AFG,1790,0.0,,,,,,,
41,Afghanistan,AFG,1791,0.0,,,,,,,
42,Afghanistan,AFG,1792,0.0,,,,,,,
43,Afghanistan,AFG,1793,0.0,,,,,,,
44,Afghanistan,AFG,1794,0.0,,,,,,,
45,Afghanistan,AFG,1795,0.0,,,,,,,
46,Afghanistan,AFG,1796,0.0,,,,,,,
47,Afghanistan,AFG,1797,0.0,,,,,,,
48,Afghanistan,AFG,1798,0.0,,,,,,,
49,Afghanistan,AFG,1799,0.0,,,,,,,
50,Afghanistan,AFG,1800,0.0,,,,,,,
51,Afghanistan,AFG,1801,0.0,,,,,,,
52,Afghanistan,AFG,1802,0.0,,,,,,,
53,Afghanistan,AFG,1803,0.0,,,,,,,
54,Afghanistan,AFG,1804,0.0,,,,,,,
55,Afghanistan,AFG,1805,0.0,,,,,,,
56,Afghanistan,AFG,1806,0.0,,,,,,,
57,Afghanistan,AFG,1807,0.0,,,,,,,
58,Afghanistan,AFG,1808,0.0,,,,,,,
59,Afghanistan,AFG,1809,0.0,,,,,,,
60,Afghanistan,AFG,1810,0.0,,,,,,,
61,Afghanistan,AFG,1811,0.0,,,,,,,
62,Afghanistan,AFG,1812,0.0,,,,,,,
63,Afghanistan,AFG,1813,0.0,,,,,,,
64,Afghanistan,AFG,1814,0.0,,,,,,,
65,Afghanistan,AFG,1815,0.0,,,,,,,
66,Afghanistan,AFG,1816,0.0,,,,,,,
67,Afghanistan,AFG,1817,0.0,,,,,,,
68,Afghanistan,AFG,1818,0.0,,,,,,,
69,Afghanistan,AFG,1819,0.0,,,,,,,
70,Afghanistan,AFG,1820,0.0,,,,,,,
71,Afghanistan,AFG,1821,0.0,,,,,,,
72,Afghanistan,AFG,1822,0.0,,,,,,,
73,Afghanistan,AFG,1823,0.0,,,,,,,
74,Afghanistan,AFG,1824,0.0,,,,,,,
75,Afghanistan,AFG,1825,0.0,,,,,,,
76,Afghanistan,AFG,1826,0.0,,,,,,,
77,Afghanistan,AFG,1827,0.0,,,,,,,
78,Afghanistan,AFG,1828,0.0,,,,,,,
79,Afghanistan,AFG,1829,0.0,,,,,,,
80,Afghanistan,AFG,1830,0.0,,,,,,,
81,Afghanistan,AFG,1831,0.0,,,,,,,
82,Afghanistan,AFG,1832,0.0,,,,,,,
83,Afghanistan,AFG,1833,0.0,,,,,,,
84,Afghanistan,AFG,1834,0.0,,,,,,,
85,Afghanistan,AFG,1835,0.0,,,,,,,
86,Afghanistan,AFG,1836,0.0,,,,,,,
87,Afghanistan,AFG,1837,0.0,,,,,,,
