Country,Code,Continent,1970,1980,1990,2000,2010,2020
Afghanistan,AFG,Asia,1748886595.55556,3641723321.99546,0.0,0.0,15856678596.148,20116137325.8206
Albania,ALB,Europe,0.0,0.0,2028553750.0,3480355258.04122,11926922828.9911,14887629268.2927
Algeria,DZA,Africa,4863487492.65763,42346380830.7708,62048562947.2509,54790392746.1939,161207270185.25,145009181490.62
Andorra,AND,Europe,78619206.0850963,446416105.825017,1029048481.88051,1429049198.45218,3449966856.68832,0.0
Angola,AGO,Africa,0.0,5934073603.54849,11236275842.7358,9129634978.33773,83799496611.2004,58375976292.9678
Antigua and Barbuda,ATG,North America,0.0,131431026.666667,459470370.37037,826370370.37037,1148700000.0,1370281481.48148
Argentina,ARG,South America,31584210365.5447,76961923741.9479,141352368714.691,284203750000.0,423627422092.49,389288056265.325
Armenia,ARM,Asia,0.0,0.0,2256838857.60997,1911563668.85006,9260284937.79781,12641209802.112
Aruba,ABW,North America,0.0,0.0,764887117.194486,1873452513.96648,2390502793.29609,0.0
Australia,AUS,Oceania,41337215813.6409,150032311977.716,311326664101.578,415576210513.094,1147589183475.73,1327836171068.51
Austria,AUT,Europe,15373005557.0257,82058912997.2346,166463386179.354,196799778883.361,391892746544.69,433258467676.515
Azerbaijan,AZE,Asia,0.0,0.0,0.0,5272798390.70183,52909294791.9262,42607176470.5882
Bahamas,BHS,North America,538423153.692615,1335300000.0,3166000000.0,8076470000.0,10095760000.0,9907500000.0
Bahrain,BHR,Asia,0.0,3072698328.46909,4229787234.04255,9062898936.17021,25713271276.5957,34729228723.4043
Bangladesh,BGD,Asia,8992721809.39332,18138049095.6072,31598341233.559,53369787318.6245,115279077465.226,323056957972.312
Barbados,BRB,North America,0.0,1012280614.52792,2012131457.26644,3059500000.0,4530000000.0,4418000000.0
Belarus,BLR,Europe,0.0,0.0,21650000000.0,12738912133.8912,57222490768.7143,60258239055.5829
Belgium,BEL,Europe,26706196046.7931,126829314388.191,205331747947.851,236204532891.1,480951629493.033,521861292586.616
Belize,BLZ,North America,53233532.9341317,197938222.429283,412086445.492176,832072450.0,1377177100.0,1636280797.08056
Benin,BEN,Africa,333627758.154666,1405251547.23882,1959965243.76269,3519991326.48464,9535344283.47295,15651545331.5404
Bermuda,BMU,North America,186300000.0,613299968.0,1592400000.0,3480219000.0,6634526000.0,6842700000.0
Bhutan,BTN,Asia,0.0,128717410.9125,287658184.003989,424464089.897641,1547991317.81183,2315437338.08809
Bolivia,BOL,South America,1017003367.00337,4526916802.61011,4867582620.20708,8397912509.09679,19649631314.0482,36572764862.8234
Bosnia and Herzegovina,BIH,Europe,0.0,0.0,0.0,5567405599.31206,17176781045.5967,19946496562.9733
Botswana,BWA,Africa,96245114.4611949,1060923829.13021,3790567051.86778,5788329609.15755,12786654498.3514,15061922801.6271
Brazil,BRA,South America,42327664793.6934,237393489892.637,390725626002.866,655448188259.351,2208838108577.09,1444733258971.65
British Virgin Islands,VGB,North America,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,BRN,Asia,179080099.307461,4928824957.96749,3520551724.13793,6001153306.2645,13707370737.0737,12005825769.5087
Bulgaria,BGR,Europe,0.0,19839230769.2308,20632090909.0909,13245833843.5454,50682061053.2016,69889347433.4324
Burkina Faso,BFA,Africa,458404330.125096,1928719477.41287,3101300641.87512,2968369991.46729,10109618964.2848,17933606353.1775
Burundi,BDI,Africa,242732571.428571,919726666.666667,1132101252.51817,870486065.883137,2032135246.50004,2841786382.19063
Cambodia,KHM,Asia,718401157.724163,0.0,0.0,3654031716.26881,11242275198.9783,25808561550.9514
Cameroon,CMR,Africa,1151217146.98569,6674567625.0807,12314482085.0878,10566578952.7857,27507499709.071,40804449726.0184
Canada,CAN,North America,87896095320.1263,273853826548.067,593929550908.468,744773415931.587,1617343367486.26,1645423407568.36
Cape Verde,CPV,Africa,0.0,142246875.536716,306891107.262039,539227277.626411,1664310769.55229,1703698676.69742
Central African Republic,CAF,Africa,189106554.521277,797048028.773247,1440711395.67069,914500299.097034,2142591375.85053,2380087758.04137
Chad,TCD,Africa,469266736.605177,1033002401.82546,1738605558.05432,1388506726.62093,10668102734.8132,10829076801.729
Chile,CHL,South America,9126309734.51328,29036709871.7949,33113887817.9731,77860932151.9302,218537551220.123,252940023046.007
China,CHN,Asia,92602973434.0726,191149211575.0,360857912565.966,1211346869600.41,6087163874510.73,14722730697890.1
Colombia,COL,South America,7198360460.19887,33400735644.0481,47844090709.9908,99886577330.7271,286563105192.457,271437596293.843
Comoros,COM,Africa,0.0,212218226.429847,429622147.743446,351136568.441921,907978723.547592,1235400352.2931
Costa Rica,CRI,North America,984830158.490566,4831447001.16686,5711687786.75989,15013629658.5671,37658614803.2919,61846895120.7808
Croatia,HRV,Europe,0.0,0.0,0.0,21839780971.0268,60426018629.2992,57203783203.0259
Cuba,CUB,North America,5693005200.0,19912889861.1111,28645436569.1489,30565400000.0,64328000000.0,107352000000.0
Curacao,CUW,North America,0.0,0.0,0.0,0.0,0.0,2595821708.81313
Cyprus,CYP,Europe,0.0,2154311276.94859,5591130217.66965,9985844486.33365,25732432719.0773,24612646487.7213
Czech Republic,CZE,Europe,0.0,0.0,40728950704.6176,61828166496.0941,209069940963.177,245339322066.759
DR Congo,COD,Africa,4877684910.17964,14394927494.8647,9349764580.36998,19088046305.7971,21565720044.4634,48716960860.0664
Denmark,DNK,Europe,17075457600.0,71127528699.9414,138247285815.855,164158739097.623,321995279401.502,356084867685.639
Djibouti,DJI,Africa,0.0,0.0,452328087.282876,551230861.856505,1128611700.3618,3384385216.71609
Dominica,DMA,North America,0.0,72804653.3333333,201429629.62963,333470370.37037,493825925.925926,504214814.814815
Dominican Republic,DOM,North America,1485500000.0,6761300000.0,7073675544.80847,24305717541.6371,53860175555.9961,78844702329.0785
Ecuador,ECU,South America,2862504169.99893,17881514682.8784,15239278100.3502,18327764882.4412,69555367000.0,98808010000.0
Egypt,EGY,Africa,8042200452.1477,21669908177.0664,42978914311.3504,99838543960.0763,218983666061.706,365252651278.852
El Salvador,SLV,North America,1132920000.0,3573959900.0,4817542204.02673,11784927700.0,18447920000.0,24638720000.0
Equatorial Guinea,GNQ,Africa,66331428.5714286,50642880.7737503,112119406.548331,1045998496.43872,16314443428.9408,10021856754.4944
Eritrea,ERI,Africa,0.0,0.0,0.0,706370815.584416,1589515447.15447,0.0
Estonia,EST,Europe,0.0,0.0,0.0,5686579747.53524,19523477325.6235,30650285471.7215
Eswatini,SWZ,Africa,112137757.244855,542000513.610683,1114703088.1614,1738100853.05052,4438778424.30203,3972728948.47088
Ethiopia,ETH,Africa,0.0,0.0,12175166763.285,8242392103.68061,29933790334.3418,107645054311.876
Faroe Islands,FRO,Europe,0.0,0.0,0.0,1058702725.4395,2320424601.26954,0.0
Fiji,FJI,Oceania,219878482.173564,1202567359.4132,1337024782.22702,1678239218.26553,3140508835.9485,4533883782.27458
Finland,FIN,Europe,11357516987.5425,53645202422.6968,141438345513.917,125706651925.557,249181190476.369,269594831987.549
France,FRA,Europe,148456359985.827,701288419745.421,1269179616913.63,1362248940482.77,2642609548930.36,2630317731455.26
French Polynesia,PYF,Oceania,254035999.217076,1362151523.68942,3181206304.81514,3447543203.02843,0.0,0.0
Gabon,GAB,Africa,323802475.481029,4279637933.85136,5952293765.84468,5080483463.99928,14372591916.4792,15316826191.5682
Gambia,GMB,Africa,52296836.749388,241080708.89018,317083373.524559,782915402.421095,1543292392.54605,1868086274.822
Georgia,GEO,Asia,0.0,0.0,7753540783.62452,3057475335.18846,12243505582.6741,15846489610.8073
Germany,DEU,Europe,215838448137.658,950290856466.538,1771671206875.68,1943145384190.16,3396354075663.73,3846413928653.71
Ghana,GHA,Africa,2215029450.3805,4445228215.76763,5889174825.487,4983024408.14828,32197272797.2028,68532281805.6722
Greece,GRC,Europe,13139863636.3636,56829664268.5851,97891092003.4394,130133845586.88,296835346570.223,188835201625.91
Greenland,GRL,North America,69520026.6666667,476055288.418886,1018970364.86443,1068030829.75591,2503156060.52524,0.0
Grenada,GRD,North America,0.0,110900457.037037,278098762.962963,520044370.37037,771013259.259259,1042100555.55556
Guatemala,GTM,North America,1904000000.0,7878700000.0,7650125217.35253,19288827158.9035,40676432028.5934,77604632170.5853
Guinea,GIN,Africa,0.0,0.0,2666750685.8495,2995361140.63217,6853467857.61127,15681050917.1563
Guinea-Bissau,GNB,Africa,78733594.8411852,110653830.722704,243961995.509785,371095510.047761,849878424.225986,1431758242.90375
Guyana,GUY,South America,267800000.0,603200000.0,396582263.291139,712667896.727512,3432913073.24154,5471256594.72422
Haiti,HTI,North America,331200000.0,1383800000.0,3096289800.0,6813577558.17628,11859315078.7902,14508218017.4032
Honduras,HND,North America,723000000.0,3968160045.98684,4923009551.51561,7103826902.2067,15729649158.5883,23662231633.9139
Hong Kong,HKG,Asia,3800766535.62088,28861759209.0191,76928290841.8701,171668164082.555,228637697575.04,346585881503.635
Hungary,HUN,Europe,0.0,0.0,0.0,47218405892.4258,132231134158.608,155808436238.487
Iceland,ISL,Europe,526704545.454545,3381419042.85476,6468736286.92707,9025660361.75842,13751161917.7398,21718075725.2054
India,IND,Asia,62422483054.5173,186325345089.754,320979026419.633,468394937262.37,1675615335600.56,2660245248867.63
Indonesia,IDN,Asia,9150684931.50685,72482337370.3464,106140727357.032,165021012077.81,755094160363.071,1058423838345.14
Iran,IRN,Asia,10976245153.5894,94362275580.0229,124813263926.225,109591707802.216,486807615326.147,203471303952.344
Iraq,IRQ,Asia,3281713805.65668,52569000000.0,180408064516.129,48364250943.9051,138516722649.573,166756984395.973
Ireland,IRL,Europe,4395995085.99509,21747855640.0712,49305632408.4929,99958806891.4686,221659742984.75,425888950992.003
Israel,ISR,Asia,0.0,0.0,0.0,132455662080.298,234654589559.973,407100736594.064
Italy,ITA,Europe,113395315985.13,477256775943.929,1181222653522.95,1143829832319.88,2134017843247.16,1888709443687.48
Ivory Coast,CIV,Africa,1455482990.24143,10175615441.8127,10795850106.9547,16577533355.3742,34936305296.8834,61348579465.1017
Jamaica,JAM,North America,1404776071.04284,2679409453.23903,4592224067.37194,9005064474.93003,13220556882.7046,13812425036.5864
Japan,JPN,Asia,212609187919.444,1105385973763.87,3132817652848.04,4968359075956.59,5759071769013.11,5057758958706.64
Jordan,JOR,Asia,639596751.610193,3910036925.14267,4160003917.43258,8460424400.56418,27133804225.3521,43697659295.7747
Kazakhstan,KAZ,Asia,0.0,0.0,26932729102.7371,18291994909.0044,148047348240.643,171082379532.988
Kenya,KEN,Africa,1603447357.25171,7265315331.62273,8572359162.85631,12705357103.0056,45405587556.7313,101013726529.063
Kiribati,KIR,Oceania,14295279.5446937,38715554.5433842,39809538.6776989,67254174.3970315,156120439.254831,197508774.344505
Kuwait,KWT,Asia,2873984878.18538,28638550499.4451,18427777777.7778,37712842242.5033,115419399860.433,105960225688.145
Kyrgyzstan,KGZ,Asia,0.0,0.0,2675000000.0,1369688498.06778,4794357795.07139,7735976272.75983
Laos,LAO,Asia,0.0,0.0,865559856.1639,1731198022.45494,7131773632.71369,19132635711.6957
Latvia,LVA,Europe,0.0,0.0,0.0,7958852838.93395,23956163076.5575,33707320816.3036
Lebanon,LBN,Asia,0.0,0.0,2838485353.96187,17260364842.4544,38443907042.3002,31735217784.5445
Lesotho,LSO,Africa,68738625.2274954,431561376.476631,596415104.549144,887295267.875155,2234731973.55119,1875227642.47384
Liberia,LBR,Africa,0.0,0.0,0.0,874000000.0,1998000000.0,3201187800.0
Libya,LBY,Africa,0.0,0.0,28901836158.1921,38270206950.41,74773444900.5368,25418916028.8964
Liechtenstein,LIE,Europe,90098330.6654471,534701915.617354,1421466239.56234,2483953102.79488,5082366478.08994,0.0
Lithuania,LTU,Europe,0.0,0.0,0.0,11524776866.6379,37128694028.243,56546957475.4912
Luxembourg,LUX,Europe,1457768455.02219,6019805490.41247,12778792853.6939,21177470978.4411,56159192758.3285,73353132793.7076
Macau,MAC,Asia,0.0,0.0,3246477995.26244,6774193548.3871,28241858488.9155,25586111076.3415
Madagascar,MDG,Africa,1111859569.7715,5201818349.00282,3931334870.74964,4629247090.97816,9982711338.11125,13056079982.3887
Malawi,MWI,Africa,290531621.264851,1237655461.1501,1880771556.30474,1743506531.32652,6959655570.89098,12182348212.7073
Malaysia,MYS,Asia,3864170913.36731,24488033442.0506,44024178343.0071,93789736842.1053,255016609232.871,337006066373.26
Maldives,MDV,Asia,0.0,42463576.1589404,215043969.849246,624337145.284622,2588176054.6875,3742769967.42798
Mali,MLI,Africa,359772363.262207,1759687480.12117,2681959313.15654,2961476518.21292,10689167195.3375,17465392915.9153
Malta,MLT,Europe,250721821.553678,1250242107.87969,2547163582.33149,4069515579.07114,9035932122.49768,14647384607.604
Marshall Islands,MHL,Oceania,0.0,0.0,78476000.0,115347500.0,160407100.0,244462400.0
Mauritania,MRT,Africa,309405316.058955,1047924649.11779,1506914407.82331,1779523344.34106,5628882266.37767,7913680231.1828
