Country,Code,Continent,1970 Population,1980 Population,1990 Population,2000 Population,2010 Population,2020 Population
Afghanistan,AFG,Asia,10752971,12486631,10694796,19542982,28189672,38972230
Albania,ALB,Europe,2324731,2941651,3295066,3182021,2913399,2866849
Algeria,DZA,Africa,13795915,18739378,25518074,30774621,35856344,43451666
Andorra,AND,Europe,19860,35611,53569,66097,71519,77700
Angola,AGO,Africa,6029700,8330047,11828638,16394062,23364185,33428485
Antigua and Barbuda,ATG,North America,64516,64888,63328,75055,85695,92664
Argentina,ARG,South America,23842803,28024803,32637657,37070774,41100123,45036032
Armenia,ARM,Asia,2534377,3135123,3556539,3168523,2946293,2805608
Aruba,ABW,North America,59106,62267,65712,89101,100341,106585
Australia,AUS,Oceania,12595034,14706322,17048003,19017963,22019168,25670051
Austria,AUT,Europe,7465301,7547561,7678729,8010428,8362829,8907777
Azerbaijan,AZE,Asia,5425317,6383060,7427836,8190337,9237202,10284951
Bahamas,BHS,North America,179129,223752,270679,325014,373272,406471
Bahrain,BHR,Asia,222555,362595,517418,711442,1213645,1477469
Bangladesh,BGD,Asia,67541860,83929765,107147651,129193327,148391139,167420951
Barbados,BRB,North America,241397,253575,258868,264657,274711,280693
Belarus,BLR,Europe,9170786,9817257,10428525,10256483,9731427,9633740
Belgium,BEL,Europe,9629376,9828986,9959560,10264343,10877947,11561717
Belize,BLZ,North America,120905,145133,182589,240406,322106,394921
Benin,BEN,Africa,3023443,3833939,5133419,6998023,9445710,12643123
Bermuda,BMU,North America,52019,53565,57470,61371,63447,64031
Bhutan,BTN,Asia,298894,415257,558442,587207,705516,772506
Bolivia,BOL,South America,4585693,5736088,7096194,8592656,10223270,11936162
Bosnia and Herzegovina,BIH,Europe,3815561,4199820,4494310,4179350,3811088,3318407
Botswana,BWA,Africa,592244,938578,1341474,1726985,2091664,2546402
Brazil,BRA,South America,96369875,122288383,150706446,175873720,196353492,213196304
British Virgin Islands,VGB,North America,9581,11109,15617,20104,27556,30910
Brunei,BRN,Asia,133343,187921,261928,333926,396053,441725
Bulgaria,BGR,Europe,8582950,8980606,8767778,8097691,7592273,6979175
Burkina Faso,BFA,Africa,5611666,6932967,9131361,11882888,16116845,21522626
Burundi,BDI,Africa,3497834,4312834,5483793,6307659,9126605,12220227
Cambodia,KHM,Asia,6708525,6198959,8910808,12118841,14363532,16396860
Cameroon,CMR,Africa,6452787,8519891,11430520,15091594,19878036,26491087
Canada,CAN,North America,21434577,24511510,27657204,30683313,33963412,37888705
Cape Verde,CPV,Africa,287262,317234,364563,458251,521212,582640
Central African Republic,CAF,Africa,2067356,2415276,2809221,3759170,4660067,5343020
Chad,TCD,Africa,3667394,4408230,5827069,8259137,11894727,16644701
Chile,CHL,South America,9820481,11469828,13342868,15351799,17004162,19300315
China,CHN,Asia,822534450,982372466,1153704252,1264099069,1348191368,1424929781
Colombia,COL,South America,20905254,26176195,32601393,39215135,44816108,50930662
Comoros,COM,Africa,242351,328328,431119,536758,656024,806166
Costa Rica,CRI,North America,1855697,2414303,3158253,3979193,4622252,5123105
Croatia,HRV,Europe,4492638,4680144,4873707,4548434,4368682,4096868
Cuba,CUB,North America,8869636,9809107,10626680,11105791,11290417,11300698
Curacao,CUW,North America,150385,156851,155446,141424,159380,189288
Cyprus,CYP,Europe,640804,679327,788500,948237,1129686,1237537
Czech Republic,CZE,Europe,9795744,10270060,10301192,10234710,10464749,10530953
DR Congo,COD,Africa,20151733,26708686,35987541,48616317,66391257,92853164
Denmark,DNK,Europe,4922963,5125392,5144623,5340655,5550849,5825641
Djibouti,DJI,Africa,144379,324121,577173,742033,919199,1090156
Dominica,DMA,North America,68895,72978,69481,68346,68755,71995
Dominican Republic,DOM,North America,4475871,5755800,7129004,8540791,9775755,10999664
Ecuador,ECU,South America,6172215,8135845,10449837,12626507,14989585,17588595
Egypt,EGY,Africa,34781986,43748556,57214630,71371371,87252413,107465134
El Salvador,SLV,North America,3619090,4508992,5367179,5958482,6114034,6292731
Equatorial Guinea,GNQ,Africa,316955,282509,465549,684977,1094524,1596049
Eritrea,ERI,Africa,1272748,1657982,2149960,2392880,3147727,3555868
Estonia,EST,Europe,1361999,1476983,1570674,1396877,1331535,1329444
Eswatini,SWZ,Africa,442865,598564,854011,1030496,1099920,1180655
Ethiopia,ETH,Africa,28308246,34945469,47878073,67031867,89237791,117190911
Faroe Islands,FRO,Europe,38416,43054,47479,45660,48410,52415
Fiji,FJI,Oceania,527634,644582,780430,832509,905169,920422
Finland,FIN,Europe,4606621,4779418,4986545,5176209,5363271,5529468
France,FRA,Europe,50523586,53713830,56412897,58665453,62444567,64480053
French Polynesia,PYF,Oceania,117891,163591,211089,250927,283788,301920
Gabon,GAB,Africa,597192,749078,983028,1272935,1711105,2292573
Gambia,GMB,Africa,528731,718586,1040616,1437539,1937275,2573995
Georgia,GEO,Asia,4800426,5145843,5391636,4265172,3836831,3765912
Germany,DEU,Europe,78294583,77786703,79370196,81551677,81325090,83328988
Ghana,GHA,Africa,8861895,11865246,15446982,19665502,25574719,32180401
Greece,GRC,Europe,8544873,9307148,10302255,11038109,11033783,10512232
Greenland,GRL,North America,45434,50106,55599,56184,56351,56026
Grenada,GRD,North America,98794,94838,99047,107432,114039,123663
Guatemala,GTM,North America,5453208,6987767,9084780,11735894,14543121,17362718
Guinea,GIN,Africa,4222374,4972609,6354145,8336967,10270728,13205153
Guinea-Bissau,GNB,Africa,591663,831462,973551,1230849,1567220,2015828
Guyana,GUY,South America,705261,778176,747116,759051,747932,797202
Haiti,HTI,North America,4680812,5646676,6925331,8360225,9842880,11306801
Honduras,HND,North America,2782753,3777990,5053234,6656725,8450933,10121763
Hong Kong,HKG,Asia,3955072,4978544,5838574,6731195,7132438,7500958
Hungary,HUN,Europe,10315366,10698679,10375989,10202055,9986825,9750573
Iceland,ISL,Europe,204468,228263,255019,281462,318333,366669
India,IND,Asia,557501301,696828385,870452165,1059633675,1240613620,1396387127
Indonesia,IDN,Asia,115228394,148177096,182159874,214072421,244016173,271857970
Iran,IRN,Asia,28449705,38520664,55793629,65544383,75373855,87290193
Iraq,IRQ,Asia,9811347,13653369,17658381,24628858,31264875,42556984
Ireland,IRL,Europe,2937637,3391387,3485374,3768950,4524585,4946119
Israel,ISR,Asia,2907307,3744608,4803254,6116958,7328445,8757489
Italy,ITA,Europe,53324036,56329482,56756561,56966397,59822450,59500579
Ivory Coast,CIV,Africa,5477086,8303809,11910540,16799670,21120042,26811790
Jamaica,JAM,North America,1859091,2135546,2392030,2612205,2733896,2820436
Japan,JPN,Asia,105416839,117624196,123686321,126803861,128105431,125244761
Jordan,JOR,Asia,1557374,2216903,3480587,5056174,6931258,10928721
Kazakhstan,KAZ,Asia,12265305,14172710,16866563,15236253,16627837,18979243
Kenya,KEN,Africa,11473087,16187124,23162269,30851606,41517895,51985780
Kiribati,KIR,Oceania,57437,60813,75124,88826,107995,126463
Kuwait,KWT,Asia,802786,1493870,1674938,1934901,2943356,4360444
Kyrgyzstan,KGZ,Asia,3016384,3691209,4394734,4935182,5483774,6424874
Laos,LAO,Asia,2675283,3297519,4314443,5430853,6323418,7319399
Latvia,LVA,Europe,2397414,2572037,2689391,2392530,2101530,1897052
Lebanon,LBN,Asia,2381791,2963702,3593700,4320642,4995800,5662923
Lesotho,LSO,Africa,1023481,1407672,1798997,1998630,2022747,2254100
Liberia,LBR,Africa,1463563,1932169,2209731,2895224,4019956,5087584
Libya,LBY,Africa,1909177,2962720,4236983,5154790,6491988,6653942
Liechtenstein,LIE,Europe,21089,25003,28765,33026,35926,38756
Lithuania,LTU,Europe,3210147,3521206,3785847,3599637,3139019,2820267
Luxembourg,LUX,Europe,339342,363741,381267,435628,507070,630399
Macau,MAC,Asia,247284,245332,350227,431896,557297,676283
Madagascar,MDG,Africa,6639751,8948162,11882762,16216431,21731053,28225177
Malawi,MWI,Africa,4625141,6267369,9539665,11229387,14718422,19377061
Malaysia,MYS,Asia,10306508,13215707,17517054,22945150,28717731,33199993
Maldives,MDV,Asia,123243,164887,224957,282507,361575,514438
Mali,MLI,Africa,6153587,7372581,8945026,11239101,15529181,21224040
Malta,MLT,Europe,315414,333587,365392,399212,418755,515357
Marshall Islands,MHL,Oceania,23969,31988,46047,54224,53416,43413
Mauritania,MRT,Africa,1122198,1506694,2006027,2695003,3419461,4498604
Mauritius,MUS,Africa,830115,954865,1090290,1215930,1283330,1297828
Mexico,MEX,North America,50289306,67705186,81720428,97873442,112532401,125998302
Micronesia,FSM,Oceania,58989,76299,98603,111709,107588,112106
Moldova,MDA,Europe,3711140,4103240,4480199,4251573,3678186,3084847
Mongolia,MNG,Asia,1293880,1697780,2161433,2450979,2702520,3294335
Montenegro,MNE,Europe,530268,589324,621442,633324,631044,629048
Morocco,MAR,Africa,15274351,19678444,24570814,28554415,32464865,36688772
Mozambique,MOZ,Africa,8411676,11413587,13303459,17768505,23073723,31178239
Myanmar,MMR,Asia,27284112,33465781,40099553,45538332,49390988,53423198
Namibia,NAM,Africa,754467,975994,1369011,1819141,2099271,2489098
